cluster_id,summary_keywords
9,"adapter reliable, properly adapter, issues looks, absolutely issues, adapter bad"
3,"phones memory, phone memory, memory smartphone, memory phone, iphone memory"
6,"card s3, note2 card, s3 card, card reliable, card htc"
14,"sd card, memory card, sd cards, buying sdcards, microsd card"
5,"tablet storage, storage tablet, tablet memory, memory tablet, sandisk storage"
0,"speeds microsd, sandisk faster, performance sandisk, sandisk reliable, faster sandisk"
11,"sd card, sd cards, 32gb sandisk, recommended sd, sandisk 32gb"
13,"works sandisk, sandisk micro, sandisk formats, usb3 reader, use sandisk"
1,"recommend sandisk, sandisk recommend, recommending sandisk, sandisk good, sd sandisk"
10,"card gopro, carduse gopro, cards gopro, memory gopro, 1080p gopro"
8,"issues 16gb, tablet 16gb, 16gb samsung, 16gb microsd, 32gb storage"
7,"tab3 memory, tablet 32gb, samsung tab3, 64gb tablet, galaxy tab3"
2,"sandisk microsd, sandisk 32gb, sandisk storage, sandisk sd, 32gb sandisk"
12,"gps camera, camera card, card camera, videos card, card dashcam"
4,"memory samsung, kingston sandisk, memory phone, sandisk micro, gs3 sandisk"
